Round score,Diff_Sig_Strikes_Attempted,Diff_Sig_Strikes_Landed,Diff_KD,Diff_TD,Diff_Sub_Attempts,Diff_Ctrl_Time,Diff_Head_Strikes
1,-12,10,0,0,0,-3,0
-1,12,-10,0,0,0,3,0
1,3,18,0,0,0,0,15
-1,-3,-18,0,0,0,0,-15
1,24,7,0,0,0,0,-8
-1,-24,-7,0,0,0,0,8
1,26,13,0,0,0,0,24
-1,-26,-13,0,0,0,0,-24
1,-10,5,0,0,0,-131,-2
-1,10,-5,0,0,0,131,2
1,0,5,0,1,0,3,-1
-1,0,-5,0,-1,0,-3,1
1,6,4,0,1,0,-51,2
-1,-6,-4,0,-1,0,51,-2
1,12,12,0,0,0,2,10
-1,-12,-12,0,0,0,-2,-10
1,4,10,0,0,0,0,-3
-1,-4,-10,0,0,0,0,3
1,15,5,0,0,0,0,9
-1,-15,-5,0,0,0,0,-9
1,1,1,0,1,0,295,0
-1,-1,-1,0,-1,0,-295,0
1,3,2,0,-1,0,28,-1
-1,-3,-2,0,1,0,-28,1
1,3,-8,0,0,0,-32,-2
-1,-3,8,0,0,0,32,2
1,20,20,0,-4,0,-156,0
-1,-20,-20,0,4,0,156,0
1,58,34,0,0,0,-3,20
-1,-58,-34,0,0,0,3,-20
1,47,30,0,-1,0,-72,23
-1,-47,-30,0,1,0,72,-23
1,52,27,0,0,0,81,28
-1,-52,-27,0,0,0,-81,-28
2,79,61,0,0,0,-4,53
-2,-79,-61,0,0,0,4,-53
1,6,5,0,-1,0,-2,4
-1,-6,-5,0,1,0,2,-4
1,16,39,0,0,0,-8,14
-1,-16,-39,0,0,0,8,-14
2,26,46,0,0,0,20,31
-2,-26,-46,0,0,0,-20,-31
2,34,46,0,1,0,50,35
-2,-34,-46,0,-1,0,-50,-35
1,7,2,0,0,0,0,8
-1,-7,-2,0,0,0,0,-8
1,9,19,0,0,0,0,14
-1,-9,-19,0,0,0,0,-14
1,8,-2,0,1,0,94,-9
-1,-8,2,0,-1,0,-94,9
1,39,17,0,0,0,65,12
-1,-39,-17,0,0,0,-65,-12
1,36,13,0,-1,0,-26,11
-1,-36,-13,0,1,0,26,-11
1,-29,-23,0,0,0,-74,-7
-1,29,23,0,0,0,74,7
1,3,7,0,0,0,-24,9
-1,-3,-7,0,0,0,24,-9
1,-15,-8,0,0,0,71,-18
-1,15,8,0,0,0,-71,18
1,-22,0,0,0,0,19,-4
-1,22,0,0,0,0,-19,4
1,24,5,0,0,0,14,8
-1,-24,-5,0,0,0,-14,-8
1,14,0,0,1,0,109,-1
-1,-14,0,0,-1,0,-109,1
1,33,23,0,0,0,0,19
-1,-33,-23,0,0,0,0,-19
1,49,34,0,0,0,42,37
-1,-49,-34,0,0,0,-42,-37
1,-16,3,0,0,0,-75,-4
-1,16,-3,0,0,0,75,4
1,13,-4,0,0,0,13,1
-1,-13,4,0,0,0,-13,-1
1,10,8,0,0,0,-51,4
-1,-10,-8,0,0,0,51,-4
1,-10,-5,0,0,0,143,7
-1,10,5,0,0,0,-143,-7
1,8,20,0,0,0,-48,10
-1,-8,-20,0,0,0,48,-10
1,21,28,0,0,0,104,22
-1,-21,-28,0,0,0,-104,-22
1,13,18,0,1,0,124,9
-1,-13,-18,0,-1,0,-124,-9
1,48,34,0,1,0,92,18
-1,-48,-34,0,-1,0,-92,-18
1,18,12,0,0,0,133,4
-1,-18,-12,0,0,0,-133,-4
1,12,9,0,1,0,248,6
-1,-12,-9,0,-1,0,-248,-6
1,7,4,0,1,-1,129,3
-1,-7,-4,0,-1,1,-129,-3
1,16,16,0,1,2,202,3
-1,-16,-16,0,-1,-2,-202,-3
1,18,13,0,2,0,208,9
-1,-18,-13,0,-2,0,-208,-9
1,-5,3,0,-1,0,-43,-6
-1,5,-3,0,1,0,43,6
1,-15,-3,0,0,0,0,-17
-1,15,3,0,0,0,0,17
1,12,2,0,0,0,0,16
-1,-12,-2,0,0,0,0,-16
1,-26,-6,0,0,0,-5,-15
-1,26,6,0,0,0,5,15
1,-32,-3,0,0,0,0,-15
-1,32,3,0,0,0,0,15
1,-3,-4,0,1,0,178,-5
-1,3,4,0,-1,0,-178,5
1,-1,1,0,4,0,204,1
-1,1,-1,0,-4,0,-204,-1
1,-1,1,0,2,0,177,0
-1,1,-1,0,-2,0,-177,0
1,-16,4,0,-1,0,-49,1
-1,16,-4,0,1,0,49,-1
1,-8,-8,0,1,0,245,-3
-1,8,8,0,-1,0,-245,3
1,-1,1,0,0,-1,284,1
-1,1,-1,0,0,1,-284,-1
1,26,10,1,1,0,166,10
-1,-26,-10,-1,-1,0,-166,-10
1,3,0,1,1,0,14,-2
-1,-3,0,-1,-1,0,-14,2
1,2,-3,-1,0,1,26,-3
-1,-2,3,1,0,-1,-26,3
2,27,18,0,2,0,281,15
-2,-27,-18,0,-2,0,-281,-15
1,10,9,0,2,0,289,9
-1,-10,-9,0,-2,0,-289,-9
2,15,13,1,3,0,281,13
-2,-15,-13,-1,-3,0,-281,-13
1,-6,-4,0,-1,2,-102,0
-1,6,4,0,1,-2,102,0
1,30,23,1,-1,0,11,16
-1,-30,-23,-1,1,0,-11,-16
1,1,6,0,0,0,-14,0
-1,-1,-6,0,0,0,14,0
1,4,-2,0,-2,0,-84,2
-1,-4,2,0,2,0,84,-2
1,6,3,0,2,0,141,2
-1,-6,-3,0,-2,0,-141,-2
1,-3,-1,0,2,0,194,-3
-1,3,1,0,-2,0,-194,3
1,-8,-5,0,0,0,0,-7
-1,8,5,0,0,0,0,7
1,6,10,0,0,0,-32,3
-1,-6,-10,0,0,0,32,-3
1,-14,-1,0,-1,0,-86,-5
-1,14,1,0,1,0,86,5
1,16,9,0,1,0,272,3
-1,-16,-9,0,-1,0,-272,-3
2,35,18,0,0,0,290,18
-2,-35,-18,0,0,0,-290,-18
1,17,-3,0,0,0,-28,-1
-1,-17,3,0,0,0,28,1
1,24,4,0,-1,0,-127,0
-1,-24,-4,0,1,0,127,0
1,-11,-2,0,2,0,198,-2
-1,11,2,0,-2,0,-198,2
1,51,29,0,0,0,0,13
-1,-51,-29,0,0,0,0,-13
1,70,51,0,0,0,0,25
-1,-70,-51,0,0,0,0,-25
1,51,31,0,0,0,0,8
-1,-51,-31,0,0,0,0,-8
1,-16,-5,0,0,0,0,1
-1,16,5,0,0,0,0,-1
1,-2,-5,0,2,0,174,-12
-1,2,5,0,-2,0,-174,12
1,3,1,0,2,0,143,-12
-1,-3,-1,0,-2,0,-143,12
1,-3,11,0,0,0,-18,1
-1,3,-11,0,0,0,18,-1
1,21,19,0,0,0,6,9
-1,-21,-19,0,0,0,-6,-9
1,30,20,0,0,0,6,8
-1,-30,-20,0,0,0,-6,-8
1,7,19,0,0,0,14,7
-1,-7,-19,0,0,0,-14,-7
1,21,29,0,-1,0,131,23
-1,-21,-29,0,1,0,-131,-23
1,1,5,0,1,0,20,3
-1,-1,-5,0,-1,0,-20,-3
1,10,15,0,0,0,0,1
-1,-10,-15,0,0,0,0,-1
1,29,8,0,-1,0,-139,7
-1,-29,-8,0,1,0,139,-7
1,-4,11,0,5,0,140,2
-1,4,-11,0,-5,0,-140,-2
1,-21,-11,0,1,0,59,-13
-1,21,11,0,-1,0,-59,13
1,73,50,0,0,0,-19,58
-1,-73,-50,0,0,0,19,-58
1,7,20,0,0,0,-3,28
-1,-7,-20,0,0,0,3,-28
1,17,11,0,0,0,21,-5
-1,-17,-11,0,0,0,-21,5
1,-21,-13,0,-1,0,-2,-2
-1,21,13,0,1,0,2,2
1,13,20,0,0,0,17,25
-1,-13,-20,0,0,0,-17,-25
1,-3,17,0,0,0,92,14
-1,3,-17,0,0,0,-92,-14
1,-4,0,0,0,0,0,8
-1,4,0,0,0,0,0,-8
1,12,-12,0,0,0,-12,-7
-1,-12,12,0,0,0,12,7
1,-6,2,0,0,0,2,1
-1,6,-2,0,0,0,-2,-1
1,-11,2,0,1,0,33,2
-1,11,-2,0,-1,0,-33,-2
1,11,5,0,0,0,-88,3
-1,-11,-5,0,0,0,88,-3
1,8,8,0,0,0,60,12
-1,-8,-8,0,0,0,-60,-12
1,-10,-5,0,3,0,54,-6
-1,10,5,0,-3,0,-54,6
1,16,14,-1,-2,1,71,14
-1,-16,-14,1,2,-1,-71,-14
1,-23,-10,0,1,0,159,-8
-1,23,10,0,-1,0,-159,8
1,-7,3,1,0,0,160,8
-1,7,-3,-1,0,0,-160,-8
