Winner,Opponent_A,Opponent_B,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media_score_ratio_of_agreement,Full_Scores,Rd1_Fans,Rd2_Fans,Rd3_Fans,Rd4_Fans,Rd5_Fans
Cruickshank,Daron Cruickshank,Anthony Njokuani,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Story,Rick Story,Gunnar Nelson,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,2,1,1.0,"['47', '48', '49', '46', '50', '44']",-0.228,0.682,0.791,1.209,1.018
Cedenblad,Magnus Cedenblad,Scott Askham,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Musoke,Nico Musoke,Alexander Yakovlev,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Siver,Dennis Siver,Charles Rosa,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Pendred,Cathal Pendred,Gasan Umalatov,1,-1,1,--,--,1,-1,1,--,--,1,-1,-1,--,--,0.4,"['29', '28', '29', '28', '28', '29']",0.85,-0.75,-0.5
Jotko,Krzysztof Jotko,Tor Troeng,1,1,1,--,--,1,2,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '26', '30', '27']"
Cerrone,Donald Cerrone,Eddie Alvarez,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",-0.986,1.014,1.099
Masvidal,Jorge Masvidal,James Krause,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Thompson,Stephen Thompson,Patrick Cote,-1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']",-0.181,1.03,1.03
Ebersole,Brian Ebersole,John Howard,1,-1,1,--,--,1,-1,1,--,--,1,-1,-1,--,--,0.455,"['29', '28', '29', '28', '28', '29']",0.91,-0.954,-0.023
Lee,Kevin Lee,Jon Tuck,1,2,1,--,--,1,2,1,--,--,1,2,1,--,--,1.0,"['30', '26', '30', '26', '30', '26']"
Akiyama,Yoshihiro Akiyama,Amir Sadollah,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Kunimoto,Kiichi Kunimoto,Rich Walsh,-1,-1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.0,"['28', '29', '29', '28', '29', '28']",-1.448,-0.483,0.932
Kanehara,Masanori Kanehara,Alex Caceres,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Kang,Kyung Ho Kang,Michinori Tanaka,1,-1,1,--,--,1,-1,-1,--,--,1,-1,1,--,--,0.667,"['29', '28', '28', '29', '29', '28']",0.946,-0.649,-0.027
Blanco,Maximo Blanco,Dan Hooker,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.923,"['29', '28', '29', '28', '29', '28']"
Santos,Leonardo Santos,Efrain Escudero,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Trinaldo,Francisco Trinaldo,Leandro Silva,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.615,"['29', '28', '29', '28', '29', '28']"
Spencer,Sean Spencer,Paulo Thiago,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Natal,Rafael Natal,Chris Camozzi,1,1,-1,--,--,1,1,-1,--,--,1,-1,-1,--,--,0.154,"['29', '28', '29', '28', '28', '29']",0.878,-0.195,-1.024
Beal,Chris Beal,Tateki Matsuda,-1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,0.923,"['29', '28', '30', '27', '29', '28']"
Skelly,Chas Skelly,Sean Soriano,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Ferguson,Tony Ferguson,Danny Castillo,1,1,-1,--,--,1,1,-1,--,--,1,-1,-1,--,--,0.588,"['29', '28', '29', '28', '28', '29']",0.89,0.226,-0.721
Brunson,Derek Brunson,Lorenz Larkin,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Zhang,Lipeng Zhang,Brendan O'Reilly,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Ning,Guangyou Ning,Jianping Yang,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.857,"['29', '28', '29', '28', '29', '28']"
Sai,Wang Sai,Danny Mitchell,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.875,"['29', '28', '29', '28', '29', '28']"
Wee,Royston Wee,Yao Zhikui,1,1,-1,--,--,-1,-1,-1,--,--,1,1,-1,--,--,0.429,"['29', '28', '27', '30', '29', '28']"
Dudieva,Milana Dudieva,Elizabeth Phillips,1,1,1,--,--,1,-1,-1,--,--,1,-1,1,--,--,0.143,"['30', '27', '28', '29', '29', '28']",0.383,-0.559,-0.441
Vick,James Vick,Valmir Lazaro,1,-1,1,--,--,1,1,1,--,--,-1,1,1,--,--,0.917,"['29', '28', '30', '27', '29', '28']"
Magny,Neil Magny,Alex Garcia,1,1,1,--,--,1,1,1,--,--,1,1,-1,--,--,0.545,"['30', '27', '30', '27', '29', '28']",0.894,-0.132,-0.578
Hobar,Matt Hobar,Aaron Phillips,-1,1,1,--,--,-1,1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Reis,Wilson Reis,Joby Sanchez,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Bader,Ryan Bader,Ovince Saint Preux,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1.0,"['49', '46', '49', '46', '48', '47']",0.95,-0.9,0.925,1.0,0.025
Formiga,Jussier Formiga,Zach Makovsky,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
McMann,Sara McMann,Lauren Murphy,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.636,"['29', '28', '28', '29', '29', '28']",0.531,0.49,-0.775
Watson,Tom Watson,Sam Alvey,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.917,"['29', '28', '29', '28', '29', '28']"
Saenz,Frankie Saenz,Nolan Ticman,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Lawler,Robbie Lawler,Matt Brown,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1.0,"['49', '46', '48', '47', '49', '46']",0.155,-0.938,0.956,0.926,-0.043
Green,Bobby Green,Josh Thomson,-1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.4,"['28', '29', '29', '28', '29', '28']",-0.068,-0.834,0.735
Masvidal,Jorge Masvidal,Daron Cruickshank,-1,1,1,--,--,-1,1,1,--,--,-1,2,1,--,--,1.0,"['29', '28', '29', '28', '29', '27']",-0.933,1.067,1.0
Cummins,Patrick Cummins,Kyle Kingsbury,1,1,1,--,--,2,1,2,--,--,2,2,2,--,--,1.0,"['30', '27', '30', '25', '30', '24']"
Means,Tim Means,Hernani Perpetuo,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.923,"['29', '28', '29', '28', '29', '28']"
Trator,Tiago Trator,Akbarh Arreola,1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Burns,Gilbert Burns,Andreas Stahl,-1,1,1,--,--,1,-1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Jedrzejczyk,Joanna Jedrzejczyk,Juliana Lima,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",0.579,1.0,0.895
Lahat,Noad Lahat,Steven Siler,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.929,"['29', '28', '29', '28', '29', '28']"
McCall,Ian McCall,Brad Pickett,1,1,1,--,--,1,-1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Seery,Neil Seery,Phil Harris,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Smith,Trevor Smith,Tor Troeng,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Tibau,Gleison Tibau,Pat Healy,1,1,-1,--,--,1,1,1,--,--,1,1,-1,--,--,0.923,"['29', '28', '30', '27', '29', '28']",1.0,0.265,-0.5
Gadelha,Cláudia Gadelha,Tina Lähdemäki,1,1,1,--,--,1,1,1,--,--,1,2,1,--,--,1.0,"['30', '27', '30', '27', '30', '26']"
Weidman,Chris Weidman,Lyoto Machida,1,1,2,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1.0,"['49', '45', '48', '47', '49', '46']",0.909,0.819,1.007,-0.983,0.246
Hall,Uriah Hall,Thiago Santos,1,1,1,--,--,1,1,-1,--,--,1,-1,1,--,--,0.846,"['30', '27', '29', '28', '29', '28']",0.148,0.13,0.574
Doane,Russell Doane,Marcus Brimage,1,-1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,0.083,"['28', '29', '29', '28', '30', '27']",1.0,-0.707,-0.862
Robertson,Kenny Robertson,Ildemar Alcântara,1,2,1,--,--,1,2,1,--,--,1,2,1,--,--,1.0,"['30', '26', '30', '26', '30', '26']"
Santos,Bruno Santos,Chris Camozzi,-1,1,-1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.923,"['28', '29', '29', '28', '29', '28']"
Zachrich,Luke Zachrich,Guilherme Bomba,1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Swanson,Cub Swanson,Jeremy Stephens,1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1.0,"['48', '47', '49', '46', '49', '46']",0.42,-0.84,0.94,0.58,0.9
Lamas,Ricardo Lamas,Hacran Dias,1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,0.545,"['30', '27', '29', '28', '30', '27']",-0.683,0.39,0.951
Ferreira,Cezar Ferreira,Andrew Craig,1,1,1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.9,"['30', '27', '29', '28', '29', '28']"
Hester,Clint Hester,Antônio Braga Neto,-1,-1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.182,"['28', '29', '29', '28', '29', '28']",-1.048,-0.214,0.858
Ellenberger,Joe Ellenberger,James Moontasri,-1,1,-1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.0,"['28', '29', '29', '28', '29', '28']",-1.474,1.052,-0.316
Guimaraes,Marcelo Guimaraes,Andy Enz,-1,1,1,--,--,-1,1,1,--,--,-1,-1,-1,--,--,1.0,"['29', '28', '29', '28', '27', '30']"
Rosholt,Jared Rosholt,Soa Palelei,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Whittaker,Robert Whittaker,Mike Rhodes,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Vaculik,Richie Vaculik,Roldan Sangcha-an,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,0.857,"['29', '28', '29', '28', '30', '27']"
Villante,Gian Villante,Sean O'Connell,1,-1,1,--,--,-1,-1,1,--,--,1,-1,1,--,--,0.625,"['29', '28', '28', '29', '29', '28']"
Johnson,Demetrious Johnson,Ali Bagautinov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['50', '45', '50', '45', '50', '45']",0.583,1.0,0.834,0.972,0.834
MacDonald,Rory MacDonald,Tyron Woodley,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.805,1.052,1.143
Bader,Ryan Bader,Rafael Feijao,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Arlovski,Andrei Arlovski,Brendan Schaub,1,1,-1,--,--,1,1,-1,--,--,1,-1,-1,--,--,0.067,"['29', '28', '29', '28', '28', '29']",0.274,-0.153,-0.958
Létourneau,Valérie Létourneau,Elizabeth Phillips,-1,1,1,--,--,-1,1,1,--,--,-1,-1,1,--,--,1.0,"['29', '28', '29', '28', '28', '29']"
Jabouin,Yves Jabouin,Mike Easton,1,1,-1,--,--,1,1,-1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Tanaka,Michinori Tanaka,Roland Delorme,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Sanchez,Diego Sanchez,Ross Pearson,1,1,1,--,--,-1,-1,-1,--,--,1,-1,1,--,--,0.0,"['30', '27', '27', '30', '29', '28']",-0.846,-0.987,-0.882
Pettis,Sergio Pettis,Yaotzin Meza,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.727,"['29', '28', '29', '28', '29', '28']"
Benoist,Lance Benoist,Bobby Voelker,1,-1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']"
Jorgensen,Scott Jorgensen,Danny Martinez,1,1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['30', '27', '29', '28', '29', '28']"
Dollaway,C.B. Dollaway,Francis Carmont,1,1,1,--,--,1,-1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Strickland,Sean Strickland,Luke Barnatt,1,-1,-1,--,--,1,1,1,--,--,1,1,-1,--,--,0.0,"['28', '29', '30', '27', '29', '28']",-0.056,-0.701,-0.757
Hein,Nick Hein,Drew Dober,1,-1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']"
Sobotta,Peter Sobotta,Pawel Pawlak,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Blanco,Maximo Blanco,Andy Ogle,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Magomedov,Ruslan Magomedov,Viktor Pesta,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Mizugaki,Takeya Mizugaki,Francisco Rivera,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Chiesa,Michael Chiesa,Francisco Trinaldo,2,1,1,--,--,1,1,1,--,--,2,1,1,--,--,1.0,"['30', '26', '30', '27', '30', '26']"
Holdsworth,Chris Holdsworth,Chico Camus,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Pichel,Vinc Pichel,Anthony Njokuani,1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,"['30', '27', '30', '27', '29', '28']"
Sicilia,Sam Sicilia,Aaron Phillips,-1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']"
Jingliang,Li Jingliang,David Michaud,-1,-1,1,--,--,-1,1,1,--,--,1,1,1,--,--,0.917,"['28', '29', '29', '28', '30', '27']"
Magny,Neil Magny,Tim Means,1,1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.857,"['30', '27', '29', '28', '29', '28']"
Cariaso,Chris Cariaso,Louis Smolka,-1,1,-1,--,--,-1,1,1,--,--,1,1,-1,--,--,0.769,"['28', '29', '29', '28', '29', '28']"
Herman,Ed Herman,Rafael Natal,1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.417,"['30', '27', '29', '28', '29', '28']"
Horiguchi,Kyoji Horiguchi,Darrell Montague,1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Lentz,Nik Lentz,Manvel Gamburyan,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Jones,Jon Jones,Glover Teixeira,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['50', '45', '50', '45', '50', '45']",0.562,0.727,0.983,1.058,0.893
Johnson,Anthony Johnson,Phil Davis,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.0,1.001,0.736
Gomi,Takanori Gomi,Isaac Vallie-Flagg,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.818,"['29', '28', '29', '28', '29', '28']",-0.134,0.866,0.433
Correia,Bethe Correia,Jessamyn Duke,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Werdum,Fabricio Werdum,Travis Browne,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['49', '46', '50', '45', '50', '45']",0.841,1.001,0.966,0.988,0.944
Tate,Miesha Tate,Liz Carmouche,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.615,"['29', '28', '29', '28', '29', '28']",-0.933,0.25,1.14
Romero,Yoel Romero,Brad Tavares,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Nurmagomedov,Khabib Nurmagomedov,Rafael dos Anjos,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.837,0.902,0.929
Alves,Thiago Alves,Seth Baczynski,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Masvidal,Jorge Masvidal,Pat Healy,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Mein,Jordan Mein,Hernani Perpetuo,1,1,-1,--,--,1,1,-1,--,--,1,-1,-1,--,--,1.0,"['29', '28', '29', '28', '28', '29']"
Ortiz,Dustin Ortiz,Ray Borg,1,-1,1,--,--,1,-1,-1,--,--,1,-1,1,--,--,0.267,"['29', '28', '28', '29', '29', '28']",0.343,-1.0,0.132
Bektic,Mirsad Bektic,Chas Skelly,1,-1,-1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.8,"['28', '28', '29', '27', '29', '27']"
Hendricks,Johny Hendricks,Robbie Lawler,1,2,-1,-1,0,1,1,-1,-1,1,1,1,-1,-1,1,0.938,"['48', '47', '48', '47', '48', '47']",0.694,0.936,-0.99,-0.954,0.831
Jury,Myles Jury,Diego Sanchez,1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,"['30', '27', '30', '27', '29', '28']",0.927,0.902,0.683
Lombard,Hector Lombard,Jake Shields,1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",1.355,1.039,0.648
Gastelum,Kelvin Gastelum,Rick Story,1,-1,-1,--,--,1,1,1,--,--,1,-1,1,--,--,0.333,"['28', '29', '30', '27', '29', '28']",0.992,-0.867,-0.078
Andrade,Jessica Andrade,Raquel Pennington,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.846,"['29', '28', '28', '29', '29', '28']",0.925,0.125,-0.9
Garcia,Alex Garcia,Sean Spencer,1,1,1,--,--,1,-1,-1,--,--,1,1,-1,--,--,1.0,"['30', '27', '28', '29', '29', '28']"
Trevino,Francisco Trevino,Renee Forte,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.917,"['29', '28', '29', '28', '29', '28']"
Scoggins,Justin Scoggins,Will Campuzano,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Whiteford,Robert Whiteford,Daniel Pineda,1,1,1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['30', '27', '29', '28', '29', '28']"
Davis,Alexis Davis,Jessica Eye,1,1,-1,--,--,-1,1,-1,--,--,-1,1,1,--,--,0.529,"['29', '28', '28', '29', '29', '28']",-0.059,0.883,-0.559
Assuncao,Raphael Assuncao,Pedro Munhoz,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Sterling,Aljamain Sterling,Cody Gibson,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Makovsky,Zach Makovsky,Josh Sampo,1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']"
Chavez,Ernest Chavez,Yosdenis Cedeno,1,1,1,--,--,-1,1,1,--,--,-1,1,-1,--,--,0.867,"['30', '27', '29', '28', '28', '29']"
Aldo,Jose Aldo,Ricardo Lamas,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1.0,"['49', '46', '49', '46', '49', '46']",0.706,0.976,0.989,0.859,-0.86
Overeem,Alistair Overeem,Frank Mir,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.587,1.042,1.387
Bagautinov,Ali Bagautinov,John Lineker,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",1.0,-0.658,0.942
Patrick,Alan Patrick,John Makdessi,1,-1,1,--,--,1,-1,1,--,--,1,1,1,--,--,0.0,"['29', '28', '29', '28', '30', '27']",-0.054,-0.634,-0.366
Cariaso,Chris Cariaso,Danny Martinez,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.833,"['29', '28', '29', '28', '29', '28']"
Catone,Nick Catone,Tom Watson,1,1,1,--,--,-1,1,1,--,--,1,-1,-1,--,--,0.636,"['30', '27', '29', '28', '28', '29']",0.376,-0.063,-0.458
Iaquinta,Al Iaquinta,Kevin Lee,1,-1,1,--,--,1,-1,1,--,--,2,-2,1,--,--,0.75,"['29', '28', '29', '28', '28', '27']",1.001,-1.428,0.836
Hester,Clint Hester,Andy Enz,1,1,1,--,--,1,1,2,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '26', '30', '27']"
Magomedov,Rashid Magomedov,Anthony Rocco Martin,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Magny,Neil Magny,Gasan Umalatov,1,1,-1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Henderson,Benson Henderson,Josh Thomson,-1,1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,0.188,"['49', '46', '48', '47', '47', '48']",-0.945,-0.353,0.857,-0.61,-0.02
Miocic,Stipe Miocic,Gabriel Gonzaga,1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",-0.8,0.98,1.0
Stephens,Jeremy Stephens,Darren Elkins,1,1,-1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Camus,Chico Camus,Yaotzin Meza,1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['30', '27', '29', '28', '29', '28']"
Sullivan,George Sullivan,Mike Rhodes,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.833,"['29', '28', '29', '28', '29', '28']"
Howard,John Howard,Siyar Bahadurzada,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Patolino,William Patolino,Bobby Voelker,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Mendes,Chad Mendes,Nik Lentz,1,1,-1,--,--,1,1,1,--,--,1,1,1,--,--,0.909,"['29', '28', '30', '27', '30', '27']",0.922,0.437,0.046
Lauzon,Joe Lauzon,Mac Danzig,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Barboza,Edson Barboza,Danny Castillo,-1,1,1,--,--,-2,1,1,--,--,-1,1,1,--,--,0.154,"['29', '28', '28', '28', '29', '28']",-1.928,1.235,0.98
Green,Bobby Green,Pat Healy,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",0.652,0.218,0.218
Makovsky,Zach Makovsky,Scott Jorgensen,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.917,"['30', '27', '30', '27', '30', '27']",0.677,-0.618,0.794
Stout,Sam Stout,Cody McKenzie,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Ozkilic,Alptekin Ozkilic,Darren Uyenoyama,-1,1,1,--,--,-1,-1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '28', '29', '30', '27']"
St-Pierre,Georges St-Pierre,Johny Hendricks,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,0.0,"['48', '47', '47', '48', '48', '47']",-0.094,-0.87,0.839,-0.933,0.879
Lawler,Robbie Lawler,Rory MacDonald,1,-1,1,--,--,1,-1,1,--,--,-1,-1,1,--,--,1.0,"['29', '28', '29', '28', '28', '29']",0.655,-0.82,0.951
Leites,Thales Leites,Ed Herman,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Story,Rick Story,Brian Ebersole,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Perez,Erik Perez,Edwin Figueroa,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Pettis,Sergio Pettis,Will Campuzano,1,1,-1,--,--,1,1,1,--,--,1,1,1,--,--,0.933,"['29', '28', '30', '27', '30', '27']",0.812,0.719,-0.5
Cormier,Daniel Cormier,Roy Nelson,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.028,0.889,1.028
Melendez,Gilbert Melendez,Diego Sanchez,1,1,1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['30', '27', '29', '28', '29', '28']",1.017,0.985,-0.439
Boetsch,Tim Boetsch,C.B. Dollaway,-1,-1,-1,--,--,1,1,2,--,--,1,1,2,--,--,0.077,"['27', '29', '30', '26', '30', '26']",-0.849,-0.736,0.698
Eye,Jessica Eye,Sarah Kaufman,1,-1,-1,--,--,1,-1,1,--,--,1,1,-1,--,--,0.333,"['28', '29', '29', '28', '29', '28']",0.785,-0.311,-0.838
Noons,K.J. Noons,George Sotiropoulos,1,-1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']"
Jones,Jon Jones,Alexander Gustafsson,-1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,0.929,"['48', '47', '48', '47', '49', '46']",-0.822,-0.153,-0.476,0.742,0.937
Nurmagomedov,Khabib Nurmagomedov,Pat Healy,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.889,0.911,1.066
Prazeres,Michel Prazeres,Jesse Ronson,1,-1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.923,"['28', '29', '29', '28', '29', '28']",1.067,0.9,-0.866
